"emb","time","bound","percHuC","nCells"
"emb1e6","48hpf","r4r5",29.8611111111111,144
"emb2e3","48hpf","r4r5",48.0519480519481,154
"emb2e1","48hpf","r4r5",41.3793103448276,174
"emb3e7","48hpf","r4r5",35.7723577235772,123
"emb3e1","48hpf","r4r5",30.0751879699248,133
"emb3e6","72hpf","r4r5",86.5,200
"emb3e5","72hpf","r4r5",81.7610062893082,159
"emb2e1","72hpf","r4r5",75,124
"emb1e8","72hpf","r4r5",87.431693989071,183
"emb1e2","72hpf","r4r5",74.2857142857143,175
"emb1e6","48hpf","r5r6",18.3823529411765,136
"emb2e3","48hpf","r5r6",30.188679245283,212
"emb2e1","48hpf","r5r6",39.5973154362416,149
"emb3e7","48hpf","r5r6",47.2868217054264,129
"emb3e1","48hpf","r5r6",28.5714285714286,154
"emb3e6","72hpf","r5r6",79.7570850202429,247
"emb3e5","72hpf","r5r6",85.7142857142857,154
"emb2e1","72hpf","r5r6",82.4427480916031,131
"emb1e8","72hpf","r5r6",85.9756097560976,164
"emb1e2","72hpf","r5r6",87.0967741935484,248
