"id","bound","time","Huc","noHuC"
"emb1e1","r2r3","30hpf",0,44
"emb2e5","r2r3","30hpf",0,45
"emb5e3","r2r3","30hpf",0,97
"emb5e4","r2r3","30hpf",4,149
"emb5e5","r2r3","30hpf",0,53
"emb1e1","r3r4","30hpf",0,37
"emb2e5","r3r4","30hpf",1,36
"emb5e3","r3r4","30hpf",0,111
"emb5e4","r3r4","30hpf",0,92
"emb5e5","r3r4","30hpf",0,39
"emb1e1","r4r5","30hpf",0,50
"emb2e5","r4r5","30hpf",3,53
"emb5e3","r4r5","30hpf",0,107
"emb5e4","r4r5","30hpf",0,108
"emb5e5","r4r5","30hpf",2,46
"emb1e1","r5r6","30hpf",2,86
"emb2e5","r5r6","30hpf",2,76
"emb5e3","r5r6","30hpf",0,129
"emb5e4","r5r6","30hpf",0,137
"emb5e5","r5r6","30hpf",2,63
"emb1e1","r2r3","48hpf",33,68
"emb2e5","r2r3","48hpf",29,71
"emb5e3","r2r3","48hpf",58,100
"emb5e4","r2r3","48hpf",71,104
"emb5e5","r2r3","48hpf",81,96
"emb1e1","r3r4","48hpf",52,61
"emb2e5","r3r4","48hpf",40,50
"emb5e3","r3r4","48hpf",68,108
"emb5e4","r3r4","48hpf",87,92
"emb5e5","r3r4","48hpf",60,66
"emb1e1","r4r5","48hpf",72,84
"emb2e5","r4r5","48hpf",83,87
"emb5e3","r4r5","48hpf",74,122
"emb5e4","r4r5","48hpf",85,122
"emb5e5","r4r5","48hpf",66,74
"emb1e1","r5r6","48hpf",47,69
"emb2e5","r5r6","48hpf",72,91
"emb5e3","r5r6","48hpf",87,171
"emb5e4","r5r6","48hpf",119,140
"emb5e5","r5r6","48hpf",69,122
